t_rel	session_idx	ms	outcome
1.006	1	178.87	ok
1.007	142	178.84	ok
0.958	127	228.05	ok
0.999	139	188.68	ok
0.869	99	321.15	ok
0.924	113	267.42	ok
0.926	107	265.37	ok
0.969	131	226.38	ok
0.899	105	299.03	ok
0.857	96	342.23	ok
0.973	123	229.92	ok
0.922	111	281.06	ok
1.001	140	203.07	ok
0.933	117	272.62	ok
0.966	128	239.45	ok
0.948	114	257.47	ok
0.895	102	310.51	ok
0.945	120	260.51	ok
0.967	129	239.46	ok
0.996	137	212.96	ok
0.935	108	277.23	ok
1.007	145	205.65	ok
0.95	126	262.65	ok
1.015	4	198.14	ok
1.007	2	219.17	ok
0.988	135	238.58	ok
0.986	132	240.67	ok
1.001	138	225.65	ok
1.004	141	226.22	ok
1.005	3	224.9	ok
1.003	0	228.44	ok
1.026	13	218.74	ok
1.018	6	227.28	ok
1.013	7	231.94	ok
1.034	31	221.86	ok
1.028	19	227.4	ok
1.014	5	245.22	ok
1.021	148	240.6	ok
1.025	146	242.39	ok
0.988	134	295.86	ok
1.017	8	267.89	ok
1.009	143	276.76	ok
1.029	9	266.43	ok
1.029	149	273.11	ok
1.034	152	268.53	ok
1.031	21	273.28	ok
1.027	10	279.17	ok
1.031	22	275.3	ok
1.046	153	263.85	ok
1.031	16	279.24	ok
1.104	50	206.88	ok
1.111	65	199.8	ok
1.021	11	289.27	ok
1.105	44	205.32	ok
1.07	41	240.63	ok
1.031	151	279.64	ok
1.024	14	287.82	ok
1.045	154	267.19	ok
1.069	150	251.15	ok
1.052	28	268.62	ok
1.066	34	254.75	ok
1.093	52	227.9	ok
1.034	18	288.48	ok
1.114	51	230.5	ok
1.022	147	322.86	ok
1.092	55	252.86	ok
1.101	61	244.45	ok
1.095	46	250.42	ok
1.087	49	258.01	ok
1.095	45	250.11	ok
1.03	144	315.74	ok
1.098	43	265.73	ok
1.112	23	254.47	ok
1.039	20	332.68	ok
1.106	59	266.29	ok
1.029	17	344.07	ok
1.093	53	281.38	ok
1.089	48	297.76	ok
1.1	58	293.74	ok
1.127	73	271.27	ok
1.16	32	242.68	ratelimited
1.127	74	276.06	ok
1.157	158	246.1	ratelimited
1.131	35	272.54	ok
1.114	64	290.9	ok
1.113	37	292.68	ok
1.188	77	219.23	ok
1.158	38	249.6	ok
1.123	68	284.71	ok
1.132	26	276.1	ok
1.188	95	220.95	ok
1.163	89	245.31	ok
1.159	29	250.48	ratelimited
1.117	70	298.4	ok
1.13	76	286.4	ok
1.153	157	263.31	ok
1.195	88	221.24	ok
1.189	56	227.8	ok
1.207	47	217.65	ok
1.187	86	237.26	ok
1.196	83	231.69	ok
1.19	80	237.63	ok
1.195	85	237.0	ok
1.142	25	289.48	ok
1.22	71	215.35	ok
1.222	101	213.64	ok
1.2	92	235.83	ok
1.201	155	243.25	ok
1.164	91	287.59	ok
1.162	67	291.03	ok
1.226	62	254.67	ok
1.197	40	283.1	ok
1.197	94	283.58	ok
1.196	97	288.02	ok
1.256	109	228.03	ok
1.262	115	222.89	ok
1.212	100	272.9	ok
1.221	98	267.51	ok
1.262	112	227.79	ok
1.244	103	246.0	ok
1.231	106	258.94	ok
1.267	118	222.62	ok
1.261	107	232.72	ok
1.025	12	472.31	ok
1.267	79	231.81	ok
1.325	136	174.37	ok
1.308	130	191.47	ok
1.281	124	221.23	ok
1.255	110	247.04	ok
1.291	127	211.96	ok
1.27	82	232.85	ok
1.278	121	225.15	ok
1.3	128	205.52	ok
1.257	113	248.0	ok
1.322	134	183.41	ok
1.243	104	261.92	ok
1.334	140	171.51	ok
1.288	125	217.31	ok
1.258	116	247.95	ok
1.075	39	431.59	ok
1.341	142	165.63	ok
1.14	81	371.42	ok
1.34	1	172.25	ok
1.025	15	487.0	ok
1.321	133	191.74	ok
1.12	72	392.87	ok
1.116	30	397.82	ok
1.284	122	230.13	ok
1.09	33	423.72	ok
1.333	139	181.77	ok
1.341	145	175.92	ok
1.349	4	168.7	ok
1.347	7	170.75	ok
1.151	156	375.19	ok
1.128	54	398.22	ok
1.185	66	341.93	ok
1.192	75	335.81	ok
1.234	105	293.84	ok
1.256	111	271.87	ok
1.184	60	344.67	ok
1.199	96	330.05	ok
1.129	24	400.26	ok
1.203	99	327.1	ok
1.145	84	385.26	ok
1.188	87	342.33	ok
1.191	69	340.67	ok
1.282	114	250.28	ok
1.095	36	437.47	ok
1.18	93	354.07	ok
1.346	143	188.24	ok
1.269	108	265.79	ok
1.153	159	382.77	ok
1.279	120	257.34	ok
1.152	27	384.41	ok
1.133	78	404.13	ok
1.298	126	239.43	ok
1.267	117	271.47	ok
1.229	102	309.56	ok
1.186	63	351.99	ok
1.115	57	423.86	ok
1.09	42	449.43	ok
1.304	131	236.24	ok
1.16	90	381.43	ok
1.259	119	284.13	ok
1.355	148	203.62	ok
1.347	5	214.12	ok
1.357	14	204.5	ok
1.36	10	227.25	ok
1.351	8	240.41	ok
1.341	2	251.37	ok
1.364	16	228.63	ok
1.34	137	253.79	ok
1.336	0	257.91	ok
1.364	22	234.09	ok
1.426	52	172.1	ok
