tag	arm	sessions	target_rps	achieved_rps	count	ok	fail	p50_ms	p95_ms	p99_ms	req_expected	req_missing
C_r2_100	C	100	19	19.0	1899	1899	0	8.5	10.2	11.7	1900	1
C_r2_120	C	120	19	19.0	1899	1899	0	8.3	9.5	10.6	1900	1
C_r2_160	C	160	19	19.0	1899	1899	0	8.3	9.5	10.7	1900	1
C_r2_20	C	20	19	19.0	1899	1899	0	8.8	10.2	11.0	1900	1
C_r2_40	C	40	19	19.0	1899	1899	0	8.5	9.8	10.6	1900	1
A_r2_60	A	60	-	-	-	-	-	-	-	-
A_r2_80	A	80	-	-	-	-	-	-	-	-
A_r2_90	A	90	-	-	-	-	-	-	-	-
A_r2_100	A	100	-	-	-	-	-	-	-	-
A_r2_120	A	120	-	-	-	-	-	-	-	-
A_r2_160	A	160	-	-	-	-	-	-	-	-
A_r2_20	A	20	-	-	-	-	-	-	-	-
A_r2_40	A	40	-	-	-	-	-	-	-	-
B_anc3_80	B	80	19	19.0	1899	1899	0	9.9	11.3	12.4	1900	1
C_r3_90	C	90	19	19.0	1899	1899	0	10.7	12.4	15.4	1900	1
C_r3_100	C	100	19	19.0	1899	1899	0	10.2	11.7	13.2	1900	1
C_r3_120	C	120	19	19.0	1899	1899	0	9.8	11.1	12.5	1900	1
C_r3_160	C	160	19	19.0	1899	1899	0	8.7	11.0	12.7	1900	1
C_r3_20	C	20	19	19.0	1900	1899	1	9.0	10.5	11.3	1900	0
C_r3_40	C	40	19	19.0	1899	1899	0	8.6	10.1	11.0	1900	1
C_r3_60	C	60	19	19.0	1899	1899	0	8.4	10.0	10.9	1900	1
C_r3_80	C	80	19	19.0	1899	1899	0	8.5	10.3	11.7	1900	1
A_r3_90	A	90	-	-	-	-	-	-	-	-
A_r3_100	A	100	-	-	-	-	-	-	-	-
A_r3_120	A	120	-	-	-	-	-	-	-	-
A_r3_160	A	160	-	-	-	-	-	-	-	-
A_r3_20	A	20	-	-	-	-	-	-	-	-
A_r3_40	A	40	-	-	-	-	-	-	-	-
A_r3_60	A	60	-	-	-	-	-	-	-	-
A_r3_80	A	80	-	-	-	-	-	-	-	-
B_r3_90	B	90	19	19.0	1899	1899	0	10.1	11.4	13.4	1900	1
B_r3_100	B	100	19	19.0	1899	1899	0	9.9	11.3	12.3	1900	1
B_r3_120	B	120	19	19.0	1899	1899	0	9.9	11.0	12.8	1900	1
B_r3_160	B	160	19	18.9	1899	1899	0	8.7	10.1	12.0	1900	1
B_r3_20	B	20	19	19.0	1899	1899	0	8.9	10.4	11.1	1900	1
B_r3_40	B	40	19	19.0	1899	1899	0	8.7	10.0	10.8	1900	1
B_r3_60	B	60	19	19.0	1899	1899	0	8.7	10.0	10.8	1900	1
B_r3_80	B	80	19	19.0	1899	1899	0	8.6	10.0	10.9	1900	1
B_anc4_80	B	80	19	19.0	1899	1899	0	8.5	9.9	10.7	1900	1
B_lc2_t1_120	B	120	19	19.0	1899	1899	0	8.6	10.1	11.7	1900	1
B_lcF_t1_120	B	120	19	19.0	1899	1899	0	8.6	9.9	11.0	1900	1
B_lc2_t1_160	B	160	19	19.0	1899	1899	0	8.6	10.2	12.1	1900	1
B_lcF_t1_160	B	160	19	19.0	1899	1899	0	8.5	9.9	11.1	1900	1
B_lcF_t2_120	B	120	19	19.0	1899	1899	0	8.5	9.8	10.7	1900	1
B_lc2_t2_120	B	120	19	19.0	1899	1899	0	8.6	10.0	11.5	1900	1
B_lcF_t2_160	B	160	19	19.0	1899	1899	0	8.6	9.9	10.8	1900	1
B_lc2_t2_160	B	160	19	19.0	1899	1899	0	8.6	10.3	12.5	1900	1
B_lc2_t3_120	B	120	19	19.0	1899	1899	0	8.6	10.1	11.9	1900	1
B_lcF_t3_120	B	120	19	19.0	1899	1899	0	8.6	9.8	10.6	1900	1
B_lc2_t3_160	B	160	19	19.0	1899	1899	0	8.6	10.2	12.3	1900	1
B_lcF_t3_160	B	160	19	19.0	1899	1899	0	8.6	9.8	11.4	1900	1
