tag	arm	sessions	phase	epoch	source	metric	value
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_sum{grpc_method="ExerciseService/SavePoseDataBatch",grpc_status="OK",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE"}	1.241657978
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0E-5"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="5.0E-5"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="1.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="3.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="6.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="8.0E-4"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.001"}	0
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.002"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.003"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.004"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.005"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.006"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.008"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.01"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.013"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.016"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.02"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.025"}	1
B_discard_10	B	10	pre	1786897647	spring	grpc_server_call_duration_seconds_bucket{grpc_method="grpc.reflection.v1.ServerReflection/ServerReflectionInfo",grpc_status="UNIMPLEMENTED",instrumentation_source="grpc-spring",instrumentation_version="v3.1.0.RELEASE",le="0.03"}	1
