t_rel	session_idx	ms	outcome
4.383	29	495.13	ok
4.422	33	456.04	ok
4.351	51	527.22	ok
4.382	5	497.9	ok
4.499	0	381.55	ok
4.343	60	537.71	ok
4.373	2	523.33	ok
4.412	7	485.67	ok
4.356	25	547.12	ok
4.398	38	504.93	ok
4.403	70	506.51	ok
4.351	50	558.98	ok
4.34	10	576.25	ok
4.389	3	528.42	ok
4.35	41	566.94	ok
4.382	48	543.04	ok
4.391	77	536.42	ok
4.35	55	578.13	ok
4.68	6	248.38	ok
4.693	73	234.86	ok
4.616	72	312.67	ok
4.681	34	254.7	ok
4.342	49	594.26	ok
4.616	1	327.68	ok
4.695	28	257.2	ok
4.616	52	352.81	ok
4.765	61	204.37	ok
4.767	78	202.73	ok
4.727	19	242.17	ok
4.703	36	268.14	ok
4.699	42	272.56	ok
4.61	65	361.79	ok
4.724	76	247.91	ok
4.699	47	275.41	ok
4.728	69	246.64	ok
4.764	17	210.67	ok
4.767	71	207.51	ok
4.729	9	246.54	ok
4.765	21	210.91	ok
4.422	30	555.1	ok
4.768	68	208.8	ok
4.768	37	209.65	ok
4.686	66	291.71	ok
4.766	18	215.14	ok
4.724	67	258.02	ok
4.724	11	257.96	ok
4.768	27	230.49	ok
4.764	45	235.75	ok
4.769	59	230.34	ok
4.764	63	235.33	ok
4.769	32	230.76	ok
4.764	20	235.19	ok
4.773	14	269.75	ok
4.819	74	223.99	ok
4.818	53	229.93	ok
4.772	16	277.24	ok
4.819	79	233.77	ok
4.799	23	254.2	ok
4.771	46	282.56	ok
4.819	35	267.86	ok
4.82	40	267.83	ok
4.823	12	270.48	ok
4.82	44	276.79	ok
4.841	26	281.06	ok
4.84	64	281.65	ok
4.839	56	282.61	ok
4.839	31	283.36	ok
4.839	22	283.13	ok
4.841	58	281.57	ok
4.855	62	271.51	ok
4.851	15	276.79	ok
4.855	8	392.1	ok
4.851	75	400.28	ok
4.856	54	442.81	ok
4.856	24	455.23	ok
4.872	39	441.3	ok
4.874	13	439.43	ok
4.874	43	447.45	ok
4.856	4	485.38	ok
4.878	29	486.47	ok
4.879	51	487.06	ok
4.881	60	485.59	ok
4.88	0	487.83	ok
4.88	5	488.4	ok
4.91	70	459.06	ok
4.903	38	465.63	ok
4.898	7	521.01	ok
4.927	77	493.13	ok
4.878	33	621.45	ok
4.977	30	523.42	ok
4.903	25	597.62	ok
5.013	6	487.41	ok
4.969	52	532.09	ok
4.936	49	565.07	ok
4.972	65	529.73	ok
4.917	10	585.22	ok
4.926	48	579.07	ok
4.917	41	587.93	ok
4.897	2	611.01	ok
5.015	34	530.44	ok
5.098	17	448.49	ok
4.871	57	675.02	ok
5.033	42	520.9	ok
5.064	9	490.31	ok
5.058	11	496.75	ok
5.037	36	517.74	ok
5.032	47	522.64	ok
5.058	67	496.97	ok
5.031	28	526.28	ok
5.1	18	457.91	ok
4.928	55	630.72	ok
5.034	73	524.46	ok
5.019	66	539.76	ok
4.952	72	607.54	ok
5.099	21	478.17	ok
4.95	1	627.62	ok
5.105	32	472.78	ok
5.098	45	480.19	ok
4.91	50	668.05	ok
4.917	3	664.59	ok
5.101	37	485.72	ok
5.061	19	527.18	ok
5.061	69	535.18	ok
5.098	61	498.56	ok
5.111	46	490.5	ok
5.1	78	502.55	ok
5.102	68	521.54	ok
5.101	27	524.21	ok
5.101	71	533.22	ok
5.098	63	536.12	ok
5.105	16	529.2	ok
5.152	53	483.02	ok
5.062	76	581.33	ok
5.136	23	526.62	ok
5.106	59	559.77	ok
5.173	22	500.82	ok
5.099	20	575.09	ok
5.112	14	562.89	ok
5.157	40	524.73	ok
5.161	74	521.93	ok
5.168	79	519.5	ok
5.157	12	532.82	ok
5.168	35	522.77	ok
