t_rel	session_idx	ms	outcome
8.391	7	125.0	ok
8.375	2	141.0	ratelimited
8.407	0	125.0	ok
8.438	5	141.0	ratelimited
8.454	4	156.0	ok
8.485	3	156.0	ok
8.516	6	141.0	ratelimited
8.516	1	156.0	ratelimited
8.547	2	125.0	ok
8.563	7	141.0	ratelimited
8.594	0	110.0	ratelimited
8.625	5	94.0	ok
8.625	4	110.0	ratelimited
8.657	3	93.0	ratelimited
8.688	6	94.0	ok
8.688	1	109.0	ok
8.75	7	63.0	ok
8.782	0	78.0	ok
8.782	2	78.0	ok
8.797	4	78.0	ok
8.813	5	78.0	ok
8.86	6	78.0	ratelimited
8.86	1	78.0	ratelimited
8.86	3	78.0	ok
8.938	7	78.0	ratelimited
8.954	0	93.0	ratelimited
8.954	2	156.0	ratelimited
8.985	4	140.0	ratelimited
9.0	5	141.0	ratelimited
9.047	6	110.0	ok
9.047	3	125.0	ok
9.047	1	125.0	ok
9.141	2	156.0	ok
9.157	4	156.0	ok
9.157	0	156.0	ok
9.172	5	141.0	ok
9.204	7	140.0	ok
9.219	1	125.0	ratelimited
9.219	6	125.0	ratelimited
9.219	3	188.0	ratelimited
9.329	4	125.0	ratelimited
9.329	2	125.0	ok
9.36	5	125.0	ratelimited
9.329	0	156.0	ok
9.375	7	110.0	ok
9.391	1	94.0	ok
9.391	6	109.0	ok
9.407	3	109.0	ok
9.5	4	63.0	ok
9.5	0	79.0	ratelimited
9.516	2	109.0	ratelimited
9.532	5	93.0	ok
9.563	7	78.0	ok
9.579	6	78.0	ok
9.579	1	93.0	ok
9.594	3	78.0	ok
9.688	2	78.0	ok
9.688	4	141.0	ok
9.688	0	141.0	ok
9.704	5	140.0	ok
9.75	7	110.0	ratelimited
9.75	1	110.0	ratelimited
9.766	6	109.0	ratelimited
9.782	3	140.0	ratelimited
9.86	0	109.0	ratelimited
9.86	4	125.0	ratelimited
9.875	2	125.0	ratelimited
9.891	5	109.0	ratelimited
9.922	1	94.0	ok
9.922	7	94.0	ok
9.938	6	94.0	ok
9.954	3	78.0	ok
10.032	0	47.0	ok
10.032	4	78.0	ok
10.047	2	78.0	ok
10.079	5	78.0	ok
10.094	1	94.0	ratelimited
10.094	7	94.0	ratelimited
10.141	6	63.0	ok
10.141	3	63.0	ratelimited
10.204	4	78.0	ratelimited
10.219	0	78.0	ok
10.235	2	94.0	ok
10.282	7	62.0	ok
10.266	5	78.0	ratelimited
10.282	1	62.0	ok
10.329	3	62.0	ok
10.329	6	78.0	ratelimited
10.375	4	63.0	ok
10.407	0	47.0	ratelimited
10.422	2	47.0	ratelimited
10.454	5	78.0	ok
10.454	7	78.0	ratelimited
10.485	1	62.0	ok
10.516	3	63.0	ok
10.516	6	63.0	ok
10.547	4	47.0	ratelimited
10.579	0	62.0	ok
10.594	2	63.0	ok
10.625	5	63.0	ok
10.625	7	63.0	ok
10.672	1	47.0	ratelimited
10.704	3	62.0	ratelimited
10.704	6	62.0	ratelimited
10.735	4	94.0	ok
10.75	0	79.0	ratelimited
10.782	2	78.0	ratelimited
10.813	7	78.0	ok
10.813	5	78.0	ratelimited
10.86	1	125.0	ok
10.891	3	125.0	ok
10.891	6	141.0	ok
10.907	4	140.0	ok
10.922	0	141.0	ok
10.969	2	94.0	ok
11.0	7	110.0	ratelimited
11.0	5	125.0	ok
11.063	6	94.0	ok
11.047	1	110.0	ok
11.079	4	78.0	ratelimited
11.079	3	109.0	ratelimited
11.094	0	94.0	ok
11.172	7	78.0	ok
11.188	2	62.0	ok
11.188	5	78.0	ok
11.219	1	78.0	ratelimited
11.235	6	78.0	ratelimited
11.266	3	78.0	ok
11.266	4	78.0	ok
11.282	0	62.0	ratelimited
11.329	7	62.0	ratelimited
11.36	5	62.0	ratelimited
11.36	2	62.0	ratelimited
11.407	1	47.0	ok
11.422	6	78.0	ok
11.438	4	62.0	ratelimited
11.438	3	62.0	ok
11.454	0	62.0	ok
11.5	7	47.0	ok
11.547	5	47.0	ok
11.547	2	47.0	ok
11.594	1	47.0	ratelimited
11.594	6	63.0	ratelimited
11.61	3	78.0	ratelimited
11.61	4	78.0	ok
11.641	0	47.0	ratelimited
11.688	7	31.0	ok
11.719	5	47.0	ratelimited
11.719	2	63.0	ok
11.766	6	47.0	ok
11.782	1	62.0	ok
11.782	3	78.0	ok
11.782	4	78.0	ok
11.829	0	62.0	ok
11.875	7	79.0	ratelimited
